group,sp,id,Mtag,tran,dist,trt,side,tag,loc,status,date_processed,initials,ic,iw,vs,is,ih,bh,vw,notes_trait
A,cal,4,107,home,0,NR,L,1426,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,home,0,NR,L,1426,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,home,0,NR,L,1426,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,home,0,NR,L,1426,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,home,0,C,R,1425,loc1,1,20190510,MFO,1,7.86,28,39,16.1,NA,12.07,
A,cal,4,107,home,0,C,R,1425,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,home,0,C,R,1425,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,home,0,C,R,1425,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,0.5,NR,L,1480,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,0.5,NR,L,1480,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,0.5,NR,L,1480,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,0.5,NR,L,1480,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,0.5,C,R,1479,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,0.5,C,R,1479,loc2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,0.5,C,R,1479,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,0.5,C,R,1479,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,1,NR,L,1482,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T1,1,NR,L,1482,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
