group,sp,hub,mayID,matTag,trans,dist,trt,tag,side,loc,status,date_processed,initials,ic,iw,vs,is,ih,bh,vw,notes_trait
A,glab,10,4,290,T1,0.5,NR,1034,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,0.5,NR,1034,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,0.5,NR,1034,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,0.5,NR,1034,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,0.5,C,1035,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,0.5,C,1035,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,0.5,C,1035,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,0.5,C,1035,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,1,NR,1036,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,1,NR,1036,L,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,1,NR,1036,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,1,NR,1036,L,loc4,1,20180613,ns,NA,NA,NA,NA,3.3,0,0.406,infls lost
A,glab,10,4,290,T1,1,C,1037,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,1,C,1037,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,1,C,1037,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,1,C,1037,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,2,C,1038,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,2,C,1038,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,2,C,1038,R,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,2,C,1038,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,2,NR,1039,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,2,NR,1039,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,2,NR,1039,L,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T1,2,NR,1039,L,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,home,0,C,1040,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,home,0,C,1040,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,home,0,C,1040,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,home,0,C,1040,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,home,0,NR,1041,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,home,0,NR,1041,R,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,home,0,NR,1041,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,home,0,NR,1041,R,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,0.5,C,1042,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,0.5,C,1042,L,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,0.5,C,1042,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,0.5,C,1042,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,0.5,NR,1043,R,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,0.5,NR,1043,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,0.5,NR,1043,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,0.5,NR,1043,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,1,C,1044,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,1,C,1044,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,1,C,1044,R,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,1,C,1044,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,1,NR,1045,L,loc1,1,20180613,mfo,2,7.122,32,4,9.6,0,7.867,
A,glab,10,3,200,T1,1,NR,1045,L,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,1,NR,1045,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,1,NR,1045,L,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,2,C,1046,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,2,C,1046,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,2,C,1046,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,2,C,1046,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,2,NR,1047,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,2,NR,1047,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,2,NR,1047,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T1,2,NR,1047,R,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,0.5,NR,1048,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,0.5,NR,1048,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,0.5,NR,1048,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,0.5,NR,1048,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,0.5,C,1049,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,0.5,C,1049,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,0.5,C,1049,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,0.5,C,1049,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,1,C,1050,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,1,C,1050,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,1,C,1050,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,1,C,1050,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,1,NR,1051,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,1,NR,1051,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,1,NR,1051,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,1,NR,1051,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,2,C,1052,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,2,C,1052,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,2,C,1052,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,2,C,1052,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,2,NR,1053,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,2,NR,1053,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,2,NR,1053,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,3,200,T2,2,NR,1053,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,home,0,NR,1054,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,home,0,NR,1054,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,home,0,NR,1054,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,home,0,NR,1054,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,home,0,C,1055,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,home,0,C,1055,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,home,0,C,1055,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,home,0,C,1055,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,T1,0.5,NR,1056,R,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,T1,0.5,NR,1056,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,T1,0.5,NR,1056,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,T1,0.5,NR,1056,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,T1,0.5,C,1057,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,T1,0.5,C,1057,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,T1,0.5,C,1057,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,T1,0.5,C,1057,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,T1,1,C,1058,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,T1,1,C,1058,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,T1,1,C,1058,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,5,291,T1,1,C,1058,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
