group,sp,mID,mTag,trans,dist,trt,tag,side,L1,L2,L3,L4,Notes,
C,cal,2,148,T1,2,NR,1550,L,0,0,0,M,,
C,cal,2,148,T1,1,C,1551,L,0,0,0,0,,
C,cal,2,148,T1,1,NR,1552,R,0,0,0,0,,
C,cal,2,148,T1,0.5,NR,1553,L,0,0,0,0,,
C,cal,2,148,T1,0.5,C,1554,R,M,0,0,0,,
C,cal,2,148,T2,0.5,NR,1555,R,V,0,0,0,,
C,cal,2,148,T2,0.5,C,1556,L,0,0,0,0,,
C,cal,2,148,T2,1,C,1557,L,0,0,0,M,,
C,cal,2,148,T2,1,NR,1558,R,0,0,0,0,,
C,cal,2,148,T2,2,NR,1559,R,0,0,0,0,,
C,cal,2,148,T2,2,C,1560,L,0,0,0,0,,
C,cal,3,149,home,0,C,1516,R,0,0,0,0,,
C,cal,3,149,home,0,NR,1520,L,0,0,M,0,,
C,cal,3,149,T1,0.5,C,1579,R,0,0,0,0,,
C,cal,3,149,T1,0.5,NR,1580,L,0,0,0,0,,
C,cal,3,149,T1,1,C,1581,R,0,0,0,0,,
C,cal,3,149,T1,1,NR,1582,L,0,0,0,0,,
C,cal,3,149,T1,2,NR,1583,R,0,0,0,0,,
C,cal,3,149,T1,2,C,1584,L,0,0,0,0,,
C,cal,4,239,home,0,C,1513,L,0,0,0,M,,
C,cal,4,239,home,0,NR,1514,R,0,0,0,0,,
group,sp,mID,mTag,trans,dist,trt,tag,side,L1,L2,L3,L4,Notes,
C,cal,4,239,T2,0.5,NR,1543,L,0,M,M,M,,
C,cal,4,239,T2,0.5,C,1544,R,0,0,0,0,,
C,cal,4,239,T2,1,NR,1545,L,0,0,0,0,,
C,cal,4,239,T2,1,C,1546,R,0,0,0,0,,
C,cal,4,239,T2,2,C,1547,L,0,0,0,0,,
C,cal,4,239,T2,2,NR,1548,R,0,0,0,V,,
C,cal,4,239,T1,0.5,NR,1585,L,0,0,0,0,,
C,cal,4,239,T1,0.5,C,1586,R,0,0,0,0,,
C,cal,4,239,T1,1,C,1587,R,0,0,0,0,,
C,cal,4,239,T1,1,NR,1588,L,0,0,0,0,,
C,cal,4,239,T1,2,C,1589,L,0,0,0,0,,
C,cal,4,239,T1,2,NR,1590,R,0,0,0,0,,
C,cal,5,238,home,0,C,1508,R,0,0,M,M,,
C,cal,5,238,home,0,NR,1511,L,0,0,0,0,,
C,cal,5,238,T2,0.5,C,1561,L,0,0,0,0,,
C,cal,5,238,T2,0.5,NR,1562,R,0,0,0,0,,
C,cal,5,238,T2,1,C,1563,L,0,0,0,0,,
C,cal,5,238,T2,1,NR,1564,R,0,0,0,0,,
C,cal,5,238,T2,2,C,1565,R,0,0,0,0,,
C,cal,5,238,T2,2,NR,1566,L,0,0,0,0,,
C,cal,5,238,T1,0.5,C,1567,L,0,0,0,0,,
C,cal,5,238,T1,0.5,NR,1568,R,0,0,0,0,,
C,cal,5,238,T1,1,NR,1569,L,0,0,0,0,,
C,cal,5,238,T1,1,C,1570,R,0,0,0,0,,
C,cal,5,238,T1,2,C,1571,R,0,0,0,0,,
C,cal,5,238,T1,2,NR,1572,L,0,0,0,0,,
C,cal,6,244,T1,0.5,NR,1505,R,0,0,0,0,,
C,cal,6,244,T1,0.5,C,1515,L,0,0,0,0,,
C,cal,6,244,home,0,C,1519,L,0,0,0,0,,
C,cal,6,244,home,0,NR,1525,R,0,0,0,0,,
C,cal,6,244,T1,1,NR,1539,L,M,0,0,0,,
C,cal,6,244,T1,1,C,1540,R,0,M,0,0,,
C,cal,6,244,T1,2,C,1541,R,0,0,0,0,,
C,cal,6,244,T1,2,NR,1542,L,0,0,0,0,,
C,fre,2,230,home,0,NR,1596,R,0,0,M,0,,
C,fre,2,230,home,0,C,1597,L,0,0,0,M,,
C,fre,2,230,T1,0.5,NR,1615,L,0,0,0,0,,
C,fre,2,230,T1,0.5,C,1616,R,0,0,0,0,,
C,fre,2,230,T1,1,NR,1617,R,0,0,0,0,,
C,fre,2,230,T1,1,C,1618,L,0,0,0,0,,
C,fre,2,230,T1,2,NR,1619,R,0,0,0,0,,
C,fre,2,230,T1,2,C,1620,L,0,M,0,M,,
C,fre,3,229,home,0,NR,1595,L,0,0,0,0,,
C,fre,3,229,home,0,C,1598,R,0,0,0,0,,
group,sp,mID,mTag,trans,dist,trt,tag,side,L1,L2,L3,L4,Notes,
C,fre,3,229,T2,0.5,NR,1627,L,0,0,0,0,,
C,fre,3,229,T2,0.5,C,1628,R,0,0,0,0,,
C,fre,3,229,T2,1,C,1629,R,0,0,0,0,,
C,fre,3,229,T2,1,NR,1630,L,0,0,0,0,,
C,fre,3,229,T2,2,NR,1631,L,0,0,0,0,,
C,fre,3,229,T2,2,C,1632,R,0,0,0,0,,
C,fre,3,229,T1,0.5,NR,1633,L,0,0,0,0,,
C,fre,3,229,T1,0.5,C,1634,R,0,0,0,0,,
C,fre,3,229,T1,1,C,1635,R,0,0,0,0,,
C,fre,3,229,T1,1,NR,1636,L,0,0,0,0,,
C,fre,3,229,T1,2,C,1637,L,0,0,0,G,,
C,fre,3,229,T1,2,NR,1638,R,0,0,0,0,,
C,fre,4,228,home,0,NR,1591,L,0,0,0,0,,
C,fre,4,228,home,0,C,1601,R,0,0,0,0,,
C,fre,4,228,T1,0.5,NR,1639,R,0,0,0,0,,
C,fre,4,228,T1,0.5,C,1640,L,0,0,M,0,,
C,fre,4,228,T1,1,NR,1641,L,0,0,0,0,,
C,fre,4,228,T1,1,C,1642,R,0,0,0,0,,
C,fre,4,228,T1,2,C,1643,L,0,0,0,0,,
C,fre,4,228,T1,2,NR,1644,R,0,0,0,0,,
C,fre,4,228,T2,0.5,NR,1645,L,0,0,0,0,,
C,fre,4,228,T2,0.5,C,1646,R,0,0,0,0,,
C,fre,4,228,T2,1,NR,1647,R,V,0,0,0,,
C,fre,4,228,T2,1,C,1648,L,0,0,0,0,,
C,fre,4,228,T2,2,C,1649,L,0,0,M,M,,
C,fre,4,228,T2,2,NR,1650,R,0,0,0,0,,
